  STEP   MS   DUTY TARGET ACTUAL SAMPLE PROPOR  INTEG DIFFER  TOTAL  DELTA   NEXT
    89  391     36  10000   9322   9322    678    251  -1417    774      3     39
    90  391     39  10000   9981   9981     19    270    659    110      0     39
    91  391     39  10000   9974   9974     26    296     -7    303      1     40
    92  391     40  10000  10749  10749   -749   -453    775   -833     -4     36
    93  391     36  10000   9335   9335    665    212  -1414    731      3     39
    94  391     39  10000   9972   9972     28    240    637     88      0     39
    95  390     39  10000   9941   9941     59    299    -31    320      1     40
    96  391     40  10000  10764  10764   -764   -465    823   -861     -4     36
    97  391     36  10000   9352   9352    648    183  -1412    698      3     39
    98  391     39  10000   9867   9867    133    316    515    221      1     40
    99  392     40  10000  10738  10738   -738   -422    871   -823     -4     36
   100  391     36  10000   9300   9300    700    278  -1438    812      4     40
