pi@zincm:~/src/com-diag-diminuto/Diminuto $ sudo su
root@zinc:/home/pi/src/com-diag-diminuto/Diminuto# . out/host/bin/setup
root@zinc:/home/pi/src/com-diag-diminuto/Diminuto# pidtest
  STEP   MS   DUTY TARGET ACTUAL SAMPLE PROPOR  INTEG DIFFER  TOTAL  DELTA   NEXT
    89  391     28  10000   8533   8533   1467    755   -848   1333      6     34
    90  391     34  10000   9691   9691    309   1064   1158    852      4     38
    91  391     38  10000  10510  10510   -510    554    819    223      1     39
    92  391     39  10000  10739  10739   -739   -185    229   -426     -2     37
    93  391     37  10000  10331  10331   -331   -516   -408   -496     -2     35
    94  391     35  10000  10067  10067    -67   -583   -264   -533     -2     33
    95  391     33  10000   9369   9369    631     48   -698    379      1     34
  STEP   MS   DUTY TARGET ACTUAL SAMPLE PROPOR  INTEG DIFFER  TOTAL  DELTA   NEXT
    96  391     34  10000   9701   9701    299    347    332    338      1     35
    97  391     35  10000  10072  10072    -72    275    371    165      0     35
    98  391     35  10000  10080  10080    -80    195      8    173      0     35
    99  391     35  10000  10124  10124   -124     71     44     29      0     35
   100  391     35  10000  10053  10053    -53     18    -71     22      0     35
   101  391     35  10000  10071  10071    -71    -53     18    -74      0     35
   102  391     35  10000  10080  10080    -80   -133      9   -155      0     35
   103  391     35  10000  10082  10082    -82   -215      2   -235     -1     34
   104  391     34  10000   9705   9705    295     80   -377    247      1     35
   105  391     35  10000  10078  10078    -78      2    373   -110      0     35
   106  391     35  10000  10095  10095    -95    -93     17   -120      0     35
   107  392     35  10000  10077  10077    -77   -170    -18   -185      0     35
   108  391     35  10000  10063  10063    -63   -233    -14   -245     -1     34
   109  391     34  10000   9664   9664    336    103   -399    286      1     35
   110  392     35  10000  10084  10084    -84     19    420   -107      0     35
   111  391     35  10000  10063  10063    -63    -44    -21    -54      0     35
   112  391     35  10000  10079  10079    -79   -123     16   -146      0     35
   113  391     35  10000  10077  10077    -77   -200     -2   -219     -1     34
   114  391     34  10000   9650   9650    350    150   -427    343      1     35
   115  391     35  10000  10094  10094    -94     56    444    -78      0     35
   116  391     35  10000  10092  10092    -92    -36     -2    -59      0     35
